RecordID,Country,Gender,Age,Question Type,Value
1,Afghanistan,F,15-24,1,17.3
1,Afghanistan,F,25-34,1,18.2
1,Afghanistan,F,35-49,1,18.8
1,Afghanistan,M,25-34,1,8.2
1,Afghanistan,M,35-49,1,8.6
1,Afghanistan,M,15-24,1,9.4
351,Afghanistan,F,15-24,2,80.1
351,Afghanistan,F,25-34,2,81.5
351,Afghanistan,F,35-49,2,79.0
71,Afghanistan,F,15-24,3,57.5
71,Afghanistan,F,25-34,3,60.0
71,Afghanistan,F,35-49,3,59.8
141,Afghanistan,F,15-24,4,67.7
141,Afghanistan,F,25-34,4,68.5
141,Afghanistan,F,35-49,4,64.7
211,Afghanistan,F,15-24,5,46.5
211,Afghanistan,F,25-34,5,50.2
211,Afghanistan,F,35-49,5,48.1
281,Afghanistan,F,15-24,6,32.1
281,Afghanistan,F,25-34,6,34.3
281,Afghanistan,F,35-49,6,33.5
351,Afghanistan,M,15-24,2,74.1
351,Afghanistan,M,25-34,2,70.5
351,Afghanistan,M,35-49,2,73.6
71,Afghanistan,M,15-24,3,44.4
71,Afghanistan,M,25-34,3,44.6
71,Afghanistan,M,35-49,3,46.6
141,Afghanistan,M,15-24,4,63.3
141,Afghanistan,M,25-34,4,60.4
141,Afghanistan,M,35-49,4,61.0
211,Afghanistan,M,15-24,5,24.8
211,Afghanistan,M,25-34,5,27.0
211,Afghanistan,M,35-49,5,25.7
281,Afghanistan,M,15-24,6,21.3
281,Afghanistan,M,25-34,6,18.5
281,Afghanistan,M,35-49,6,20.1
2,Albania,F,15-24,1,0.6
2,Albania,F,25-34,1,0.8
2,Albania,F,35-49,1,1.0
2,Albania,M,25-34,1,0.2
2,Albania,M,35-49,1,0.4
2,Albania,M,15-24,1,0.9
352,Albania,F,15-24,2,4.7
352,Albania,F,25-34,2,6.9
352,Albania,F,35-49,2,8.2
72,Albania,F,15-24,3,1.0
72,Albania,F,25-34,3,1.7
72,Albania,F,35-49,3,2.4
142,Albania,F,15-24,4,2.0
142,Albania,F,25-34,4,3.7
142,Albania,F,35-49,4,4.8
212,Albania,F,15-24,5,3.5
212,Albania,F,25-34,5,5.4
212,Albania,F,35-49,5,6.3
282,Albania,F,15-24,6,0.6
282,Albania,F,25-34,6,1.1
282,Albania,F,35-49,6,1.0
352,Albania,M,15-24,2,10.9
352,Albania,M,25-34,2,11.3
352,Albania,M,35-49,2,11.8
