RecordID,Country,Gender,Education,Question Type,Value
1,Afghanistan,F,Higher,1,10.1
1,Afghanistan,F,Secondary,1,13.7
1,Afghanistan,F,Primary,1,13.8
1,Afghanistan,F,No education,1,19.1
1,Afghanistan,M,Higher,1,4.5
1,Afghanistan,M,Primary,1,6.3
1,Afghanistan,M,Secondary,1,7.1
1,Afghanistan,M,No education,1,10.6
351,Afghanistan,F,Higher,2,61.1
351,Afghanistan,F,No education,2,81.0
351,Afghanistan,F,Primary,2,79.8
351,Afghanistan,F,Secondary,2,76.0
71,Afghanistan,F,Higher,3,37.7
71,Afghanistan,F,No education,3,60.2
71,Afghanistan,F,Primary,3,56.9
71,Afghanistan,F,Secondary,3,55.4
141,Afghanistan,F,Higher,4,41.1
141,Afghanistan,F,No education,4,68.4
141,Afghanistan,F,Primary,4,64.1
141,Afghanistan,F,Secondary,4,58.2
211,Afghanistan,F,Higher,5,33.4
211,Afghanistan,F,No education,5,48.9
211,Afghanistan,F,Primary,5,50.6
211,Afghanistan,F,Secondary,5,44.4
281,Afghanistan,F,Higher,6,10.8
281,Afghanistan,F,No education,6,34.2
281,Afghanistan,F,Primary,6,35.9
281,Afghanistan,F,Secondary,6,26.6
351,Afghanistan,M,Higher,2,55.5
351,Afghanistan,M,No education,2,77.4
351,Afghanistan,M,Primary,2,68.1
351,Afghanistan,M,Secondary,2,69.6
71,Afghanistan,M,Higher,3,31.4
71,Afghanistan,M,No education,3,50.2
71,Afghanistan,M,Primary,3,41.0
71,Afghanistan,M,Secondary,3,42.8
141,Afghanistan,M,Higher,4,43.6
141,Afghanistan,M,No education,4,66.0
141,Afghanistan,M,Primary,4,55.9
141,Afghanistan,M,Secondary,4,59.5
211,Afghanistan,M,Higher,5,20.9
211,Afghanistan,M,No education,5,29.7
211,Afghanistan,M,Primary,5,22.3
211,Afghanistan,M,Secondary,5,23.0
281,Afghanistan,M,Higher,6,11.9
281,Afghanistan,M,No education,6,23.2
281,Afghanistan,M,Primary,6,17.4
281,Afghanistan,M,Secondary,6,15.9
2,Albania,F,Higher,1,0.2
2,Albania,F,Secondary,1,0.6
2,Albania,F,Primary,1,1.3
2,Albania,F,No education,1,5.8
2,Albania,M,No education,1,0.0
2,Albania,M,Secondary,1,0.2
2,Albania,M,Higher,1,0.8
2,Albania,M,Primary,1,0.8
352,Albania,F,Higher,2,1.4
352,Albania,F,No education,2,26.3
352,Albania,F,Primary,2,11.1
352,Albania,F,Secondary,2,5.5
72,Albania,F,Higher,3,0.4
72,Albania,F,No education,3,11.7
72,Albania,F,Primary,3,3.2
72,Albania,F,Secondary,3,1.1
142,Albania,F,Higher,4,0.3
142,Albania,F,No education,4,14.9
142,Albania,F,Primary,4,6.9
142,Albania,F,Secondary,4,2.4
212,Albania,F,Higher,5,1.1
