RecordID,Country,Gender,Employment,Question Type,Value
1,Afghanistan,F,Employed for kind,1,17.0
1,Afghanistan,F,Unemployed,1,18.0
1,Afghanistan,F,Employed for cash,1,20.8
1,Afghanistan,M,Unemployed,1,5.2
1,Afghanistan,M,Employed for cash,1,8.4
1,Afghanistan,M,Employed for kind,1,10.7
351,Afghanistan,F,Employed for cash,2,80.2
351,Afghanistan,F,Employed for kind,2,86.9
351,Afghanistan,F,Unemployed,2,80.1
71,Afghanistan,F,Employed for cash,3,57.8
71,Afghanistan,F,Employed for kind,3,53.5
71,Afghanistan,F,Unemployed,3,59.8
141,Afghanistan,F,Employed for cash,4,66.7
141,Afghanistan,F,Employed for kind,4,68.0
141,Afghanistan,F,Unemployed,4,67.0
211,Afghanistan,F,Employed for cash,5,48.1
211,Afghanistan,F,Employed for kind,5,49.3
211,Afghanistan,F,Unemployed,5,48.6
281,Afghanistan,F,Employed for cash,6,32.5
281,Afghanistan,F,Employed for kind,6,31.4
281,Afghanistan,F,Unemployed,6,33.7
351,Afghanistan,M,Employed for cash,2,72.6
351,Afghanistan,M,Employed for kind,2,73.5
351,Afghanistan,M,Unemployed,2,67.4
71,Afghanistan,M,Employed for cash,3,45.5
71,Afghanistan,M,Employed for kind,3,47.8
71,Afghanistan,M,Unemployed,3,41.1
141,Afghanistan,M,Employed for cash,4,60.9
141,Afghanistan,M,Employed for kind,4,65.7
141,Afghanistan,M,Unemployed,4,54.8
211,Afghanistan,M,Employed for cash,5,25.6
211,Afghanistan,M,Employed for kind,5,30.6
211,Afghanistan,M,Unemployed,5,31.8
281,Afghanistan,M,Employed for cash,6,18.9
281,Afghanistan,M,Employed for kind,6,27.8
281,Afghanistan,M,Unemployed,6,17.0
2,Albania,F,Employed for cash,1,0.6
2,Albania,F,Unemployed,1,0.8
2,Albania,F,Employed for kind,1,2.4
2,Albania,M,Employed for cash,1,0.3
2,Albania,M,Employed for kind,1,0.5
2,Albania,M,Unemployed,1,0.8
352,Albania,F,Employed for cash,2,4.1
352,Albania,F,Employed for kind,2,17.0
352,Albania,F,Unemployed,2,7.6
72,Albania,F,Employed for cash,3,1.2
72,Albania,F,Employed for kind,3,6.9
72,Albania,F,Unemployed,3,1.7
142,Albania,F,Employed for cash,4,1.8
142,Albania,F,Employed for kind,4,8.9
142,Albania,F,Unemployed,4,4.4
212,Albania,F,Employed for cash,5,3.2
212,Albania,F,Employed for kind,5,13.6
212,Albania,F,Unemployed,5,5.8
282,Albania,F,Employed for cash,6,0.7
282,Albania,F,Employed for kind,6,3.0
282,Albania,F,Unemployed,6,0.8
352,Albania,M,Employed for cash,2,10.8
352,Albania,M,Employed for kind,2,9.6
352,Albania,M,Unemployed,2,12.4
72,Albania,M,Employed for cash,3,3.4
72,Albania,M,Employed for kind,3,3.6
72,Albania,M,Unemployed,3,5.0
142,Albania,M,Employed for cash,4,7.2
142,Albania,M,Employed for kind,4,6.2
142,Albania,M,Unemployed,4,5.6
212,Albania,M,Employed for cash,5,7.5
212,Albania,M,Employed for kind,5,5.5
212,Albania,M,Unemployed,5,9.1
282,Albania,M,Employed for cash,6,1.3
282,Albania,M,Employed for kind,6,0.9
282,Albania,M,Unemployed,6,3.5
3,Angola,F,Unemployed,1,8.8
3,Angola,F,Employed for cash,1,9.9
3,Angola,F,Employed for kind,1,14.3
3,Angola,M,Employed for cash,1,5.5
3,Angola,M,Unemployed,1,6.1
3,Angola,M,Employed for kind,1,7.9
353,Angola,F,Employed for cash,2,26.6
353,Angola,F,Employed for kind,2,28.4
