RecordID,Country,Gender,Marital Status,Question Type,Value
1,Afghanistan,F,Never married,1,0.0
1,Afghanistan,F,"Widowed, divorced, separated",1,13.8
1,Afghanistan,F,Married or living together,1,18.3
1,Afghanistan,M,Never married,1,0.0
1,Afghanistan,M,"Widowed, divorced, separated",1,6.3
1,Afghanistan,M,Married or living together,1,8.5
351,Afghanistan,F,Married or living together,2,80.6
351,Afghanistan,F,Never married,2,0.0
351,Afghanistan,F,"Widowed, divorced, separated",2,67.6
71,Afghanistan,F,Married or living together,3,59.5
71,Afghanistan,F,Never married,3,0.0
71,Afghanistan,F,"Widowed, divorced, separated",3,51.5
141,Afghanistan,F,Married or living together,4,67.1
141,Afghanistan,F,Never married,4,0.0
141,Afghanistan,F,"Widowed, divorced, separated",4,58.5
211,Afghanistan,F,Married or living together,5,48.6
211,Afghanistan,F,Never married,5,0.0
211,Afghanistan,F,"Widowed, divorced, separated",5,43.1
281,Afghanistan,F,Married or living together,6,33.5
281,Afghanistan,F,Never married,6,0.0
281,Afghanistan,F,"Widowed, divorced, separated",6,29.1
351,Afghanistan,M,Married or living together,2,72.6
351,Afghanistan,M,Never married,2,0.0
351,Afghanistan,M,"Widowed, divorced, separated",2,48.8
71,Afghanistan,M,Married or living together,3,45.5
71,Afghanistan,M,Never married,3,0.0
71,Afghanistan,M,"Widowed, divorced, separated",3,35.1
141,Afghanistan,M,Married or living together,4,61.3
141,Afghanistan,M,Never married,4,0.0
141,Afghanistan,M,"Widowed, divorced, separated",4,36.5
211,Afghanistan,M,Married or living together,5,26.1
211,Afghanistan,M,Never married,5,0.0
211,Afghanistan,M,"Widowed, divorced, separated",5,29.3
281,Afghanistan,M,Married or living together,6,19.7
281,Afghanistan,M,Never married,6,0.0
281,Afghanistan,M,"Widowed, divorced, separated",6,5.0
2,Albania,F,Never married,1,0.6
2,Albania,F,"Widowed, divorced, separated",1,0.6
2,Albania,F,Married or living together,1,0.9
2,Albania,M,Never married,1,0.4
2,Albania,M,Married or living together,1,0.6
