ID,Sehir,Yas Durumu,Koruma Karari,Oldurme Nedeni,Katil,Olum Sekli,Katilin Durumu,Yil
1, Adana , Resit,   Tespit Edilemeyen  ,Erkegin istedigi bir seyin gerceklesmemesi sebebiyle,Kocasi,Atesli Silah,Bilinmiyor,2008.0
2, Adana , Resit Degil ,   Yok ,Tespit Edilemeyen,Babasi,Darp, Tutuklu ,2008.0
3, Ankara , Resit Degil  ,   Yok ,Namus,Babasi,Atesli Silah, Tutuklu ,2008.0
4, Antalya , Resit,   Tespit Edilemeyen ,Kiskanclik,Kocasi,Kesici Alet,Tespit Edilemeyen,2008.0
5, Balikesir , Resit Degil ,   Yok ,Reddedilme,Annesinin Eski Sevgilisi,Atesli Silah, Tutuklu ,2008.0
6, Bingol , Resit ,   Yok ,Tartisma,Kocasi,Atesli Silah, Tutuklu ,2008.0
7, Bursa , Resit ,   Yok ,Tespit Edilemeyen,Damadi,Bogulma, Tutuklu ,2008.0
8, Diyarbakir , Resit ,   Yok ,Tartisma,Tanidigi Birisi,Atesli Silah, Tutuklu ,2008.0
9, Diyarbakir , Resit ,   Yok ,Tespit Edilemeyen,Tespit Edilemeyen,Atesli Silah, Sorusturma Suruyor ,2008.0
10, Eskisehir , Resit ,   Yok ,Husumet,Tanidigi Birisi,Atesli Silah, Tutuklu ,2008.0
11, Gaziantep , Resit,   Yok ,Tespit Edilemeyen,Kocasi,Atesli Silah,Tespit Edilemeyen,2008.0
12, Igdir , Resit ,   Yok ,Tartisma,Sevgilisi,Atesli Silah, Intihar ,2008.0
13, Igdir , Resit ,   Yok ,Namus,Erkek Kardesi,Atesli Silah, Tutuklu ,2008.0
14, Istanbul , Resit ,   Yok ,Tespit Edilemeyen,Tanidigi Birisi,Atesli Silah, Tutuklu ,2008.0
15, Istanbul , Resit ,   Yok ,Reddedilme,Sevgilisi,Atesli Silah, Tutuklu ,2008.0
16, Istanbul , Resit ,   Yok ,Ayrilik Talebi,Eski Nisanlisi,Kesici Alet, Araniyor ,2008.0
17, Istanbul , Tespit Edilemeyen,   Tespit Edilemeyen,Husumet,Tanidigi Birisi,Atesli Silah, Tutuklu ,2008.0
18, Istanbul , Resit ,   Yok ,Tartisma,Kocasi,Atesli Silah, Intihar ,2008.0
19, Kirsehir , Resit ,   Yok ,Tespit Edilemeyen,Tespit Edilemeyen,Tespit Edilemeyen, Sorusturma Suruyor ,2008.0
20, Mersin , Resit ,   Yok ,Kaza,Akrabasi,Atesli Silah, Tutuklu ,2008.0
21, Samsun , Resit ,   Yok ,Tartisma,Tanidigi Birisi,Atesli Silah, Tutuklu ,2008.0
22, Adana , Resit ,   Yok ,Tespit Edilemeyen,Tespit Edilemeyen,Yuksekten Dusme, Tespit Edilemeyen,2009.0
23, Adiyaman , Resit ,   Yok ,Tespit Edilemeyen,Sevgilisi,Atesli Silah, Tutuklu ,2009.0
24, Afyonkarahisar , Resit ,   Yok ,Tespit Edilemeyen,Tanidigi Birisi,Yakilma, Tutuklu ,2009.0
25, Afyonkarahisar , Resit ,   Yok ,Tespit Edilemeyen,Abisi,Atesli Silah, Tutuklu ,2009.0
26, Agri , Resit ,   Yok ,Annesini Korurken,Babasi,Atesli Silah, Tutuklu ,2009.0
27, Agri , Resit ,   Yok ,Tespit Edilemeyen,Kocasi,Atesli Silah, Tutuklu ,2009.0
28, Antalya , Resit ,   Yok ,Tartisma,Tanidigi Birisi,Atesli Silah, Tutuklu ,2009.0
29, Ankara , Resit ,   Yok ,Tartisma,Kocasi,Atesli Silah, Intihar ,2009.0
30, Ankara , Resit ,   Yok ,Tartisma,Kocasi,Atesli Silah, Intihar ,2009.0
31, Ankara , Resit ,   Yok ,Tespit Edilemeyen,Tanidigi Birisi,Atesli Silah, Tutuklu ,2009.0
